Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG,npxG,xA,xG/90,xA/90,xG+xA/90,npxG/90,npxG+xA/90,Matches,League
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,28,1990,21,21,1804.0,3.0,0.0,1.0,1.0,0.0,0.0,0.15,0.0,0.15,0.1,0.1,1.8,1.0,1.8,0.09,0.09,0.18,0.05,0.14,Matches,epl
2,Max Aarons,eng ENG,DF,Norwich City,19,2000,26,26,2340.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.04,0.04,0.0,0.04,0.5,0.5,3.4,0.02,0.13,0.15,0.02,0.15,Matches,epl
3,Tammy Abraham,eng ENG,FW,Chelsea,21,1997,25,23,1945.0,13.0,3.0,0.0,0.0,2.0,0.0,0.6,0.14,0.74,0.6,0.74,12.2,12.2,2.3,0.56,0.11,0.67,0.56,0.67,Matches,epl
4,Che Adams,eng ENG,FW,Southampton,23,1996,21,8,712.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,1.9,1.9,0.9,0.24,0.11,0.35,0.24,0.35,Matches,epl
5,AdriÃ¡n,es ESP,GK,Liverpool,32,1987,10,8,783.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,Matches,epl
6,Sergio AgÃ¼ero,ar ARG,FW,Manchester City,31,1988,21,16,1342.0,16.0,3.0,2.0,3.0,1.0,0.0,1.07,0.2,1.27,0.94,1.14,13.3,11.0,2.5,0.89,0.17,1.06,0.74,0.91,Matches,epl
7,Albian Ajeti,ch SUI,"MF,FW",West Ham,22,1997,8,0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.08,0.04,0.12,0.08,0.12,Matches,epl
8,Nathan AkÃ©,nl NED,DF,Bournemouth,24,1995,22,22,1925.0,2.0,1.0,0.0,0.0,1.0,0.0,0.09,0.05,0.14,0.09,0.14,2.3,2.3,0.6,0.11,0.03,0.14,0.11,0.14,Matches,epl
9,Marc Albrighton,eng ENG,MF,Leicester City,29,1989,13,2,387.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.23,0.23,0.0,0.23,0.2,0.2,0.9,0.06,0.2,0.25,0.06,0.25,Matches,epl
10,Toby Alderweireld,be BEL,DF,Tottenham,30,1989,26,26,2328.0,1.0,2.0,0.0,0.0,4.0,0.0,0.04,0.08,0.12,0.04,0.12,0.7,0.7,0.9,0.03,0.04,0.06,0.03,0.06,Matches,epl
11,Trent Alexander-Arnold,eng ENG,DF,Liverpool,20,1998,28,27,2460.0,2.0,12.0,0.0,0.0,4.0,0.0,0.07,0.44,0.51,0.07,0.51,2.1,2.1,8.5,0.08,0.31,0.39,0.08,0.39,Matches,epl
12,Alisson,br BRA,GK,Liverpool,26,1992,20,20,1734.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.05,0.05,0.0,0.05,0.0,0.0,0.4,0.0,0.02,0.02,0.0,0.02,Matches,epl
13,Dele Alli,eng ENG,"MF,FW",Tottenham,23,1996,20,18,1584.0,7.0,3.0,0.0,0.0,2.0,0.0,0.4,0.17,0.57,0.4,0.57,5.4,5.4,2.2,0.31,0.12,0.43,0.31,0.43,Matches,epl
14,Miguel AlmirÃ³n,py PAR,"FW,MF",Newcastle Utd,25,1994,27,27,2290.0,2.0,1.0,0.0,0.0,5.0,0.0,0.08,0.04,0.12,0.08,0.12,4.6,4.6,0.8,0.18,0.03,0.21,0.18,0.21,Matches,epl
15,Marcos Alonso,es ESP,DF,Chelsea,28,1990,10,8,768.0,4.0,2.0,0.0,0.0,3.0,0.0,0.47,0.23,0.7,0.47,0.7,1.5,1.5,1.3,0.17,0.16,0.33,0.17,0.33,Matches,epl
16,Steven Alzate,co COL,"MF,DF",Brighton,20,1998,19,12,1183.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.7,0.09,0.05,0.14,0.09,0.14,Matches,epl
17,Ibrahim Amadou,fr FRA,"DF,MF",Norwich City,26,1993,11,8,756.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,0.12,0.01,0.13,0.12,0.13,Matches,epl
18,Felipe Anderson,br BRA,"MF,FW",West Ham,26,1993,21,19,1412.0,1.0,4.0,0.0,0.0,1.0,0.0,0.06,0.25,0.32,0.06,0.32,2.5,2.5,2.9,0.16,0.18,0.34,0.16,0.34,Matches,epl
19,Florin Andone,ro ROU,"MF,FW",Brighton,26,1993,3,1,71.0,1.0,0.0,0.0,0.0,0.0,1.0,1.27,0.0,1.27,1.27,1.27,0.2,0.2,0.0,0.19,0.05,0.24,0.19,0.24,Matches,epl
20,AngeliÃ±o,es ESP,DF,Manchester City,22,1997,6,4,422.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.2,0.05,0.25,0.3,0.05,0.30,Matches,epl
21,Michail Antonio,eng ENG,"FW,MF",West Ham,29,1990,14,9,940.0,2.0,2.0,0.0,0.0,0.0,0.0,0.19,0.19,0.38,0.19,0.38,3.8,3.8,1.8,0.36,0.18,0.54,0.36,0.54,Matches,epl
22,Stuart Armstrong,sco SCO,MF,Southampton,27,1992,21,12,1140.0,3.0,0.0,0.0,0.0,3.0,0.0,0.24,0.0,0.24,0.24,0.24,2.0,2.0,0.9,0.16,0.07,0.22,0.16,0.22,Matches,epl
23,Kepa Arrizabalaga,es ESP,GK,Chelsea,24,1994,24,24,2160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,Matches,epl
24,Christian Atsu,gh GHA,"FW,MF",Newcastle Utd,27,1992,18,6,733.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.37,0.37,0.0,0.37,0.2,0.2,1.0,0.03,0.12,0.14,0.03,0.14,Matches,epl
25,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,30,1989,25,25,2214.0,17.0,1.0,1.0,1.0,3.0,1.0,0.69,0.04,0.73,0.65,0.69,11.2,10.5,1.8,0.46,0.07,0.53,0.43,0.50,Matches,epl
26,Serge Aurier,ci CIV,DF,Tottenham,26,1992,22,21,1820.0,0.0,4.0,0.0,0.0,3.0,1.0,0.0,0.2,0.2,0.0,0.2,0.4,0.4,2.3,0.02,0.11,0.13,0.02,0.13,Matches,epl
27,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,27,1991,27,27,2303.0,7.0,1.0,0.0,0.0,4.0,0.0,0.27,0.04,0.31,0.27,0.31,5.6,5.6,1.6,0.22,0.06,0.28,0.22,0.28,Matches,epl
28,CÃ©sar Azpilicueta,es ESP,DF,Chelsea,29,1989,26,26,2330.0,2.0,3.0,0.0,0.0,0.0,0.0,0.08,0.12,0.19,0.08,0.19,2.3,2.3,4.6,0.09,0.18,0.27,0.09,0.27,Matches,epl
29,Eric Bailly,ci CIV,DF,Manchester Utd,25,1994,1,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,Matches,epl
30,Leighton Baines,eng ENG,DF,Everton,34,1984,4,2,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.02,0.06,0.08,0.02,0.08,Matches,epl
31,FabiÃ¡n Balbuena,py PAR,DF,West Ham,27,1991,13,12,1080.0,1.0,0.0,0.0,0.0,2.0,0.0,0.08,0.0,0.08,0.08,0.08,1.7,1.7,0.0,0.14,0.0,0.14,0.14,0.14,Matches,epl
32,George Baldock,eng ENG,DF,Sheffield Utd,26,1993,27,27,2430.0,2.0,3.0,0.0,0.0,6.0,0.0,0.07,0.11,0.19,0.07,0.19,0.5,0.5,1.8,0.02,0.07,0.09,0.02,0.09,Matches,epl
33,Phil Bardsley,sco SCO,DF,Burnley,34,1985,13,13,1170.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.08,0.08,0.0,0.08,0.2,0.2,0.3,0.01,0.02,0.04,0.01,0.04,Matches,epl
34,Ross Barkley,eng ENG,MF,Chelsea,25,1993,12,7,585.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.15,1.7,1.7,1.1,0.26,0.18,0.43,0.26,0.43,Matches,epl
35,Ashley Barnes,at AUT,FW,Burnley,29,1989,19,17,1361.0,6.0,0.0,1.0,1.0,4.0,0.0,0.4,0.0,0.4,0.33,0.33,5.4,4.6,0.5,0.35,0.03,0.39,0.3,0.34,Matches,epl
36,Harvey Barnes,eng ENG,MF,Leicester City,21,1997,26,19,1629.0,4.0,6.0,0.0,0.0,0.0,0.0,0.22,0.33,0.55,0.22,0.55,6.3,6.3,2.3,0.35,0.13,0.48,0.35,0.48,Matches,epl
37,Chris Basham,eng ENG,DF,Sheffield Utd,31,1988,27,27,2350.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.7,0.02,0.03,0.05,0.02,0.05,Matches,epl
38,Borja BastÃ³n,es ESP,"MF,FW",Aston Villa,26,1992,2,0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,Matches,epl
39,Michy Batshuayi,be BEL,FW,Chelsea,25,1993,16,1,225.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.8,0.4,0.8,2.2,2.2,0.2,0.87,0.07,0.94,0.87,0.94,Matches,epl
40,Jan Bednarek,pl POL,DF,Southampton,23,1996,26,26,2338.0,1.0,0.0,0.0,0.0,3.0,0.0,0.04,0.0,0.04,0.04,0.04,0.8,0.8,0.1,0.03,0.0,0.04,0.03,0.04,Matches,epl
41,HÃ©ctor BellerÃ­n,es ESP,DF,Arsenal,24,1995,7,7,623.0,1.0,0.0,0.0,0.0,2.0,0.0,0.14,0.0,0.14,0.14,0.14,0.2,0.2,0.1,0.03,0.01,0.04,0.03,0.04,Matches,epl
42,Ryan Bennett,eng ENG,DF,Wolves,29,1990,11,7,604.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.02,0.02,0.0,0.02,Matches,epl
